doc_name,date,auteur,titre,fabula,gender,mort_auteur,canon
1987_Chevillard-Eric_Mourir-m-enrhume,1987,eric chevillard,mourir m enrhume,True,male,XXXX,canon
1987_Villard-Marc_Rebelles-de-la-nuit,1987,marc villard,rebelles de la nuit,False,male,20--,non-canon
1987_Bergounioux-Pierre_La-maison-rose,1987,pierre bergounioux,la maison rose,True,male,20--,canon
1987_Rolin-Olivier_Bar-des-flots-noirs,1987,olivier rolin,bar des flots noirs,True,male,20--,canon
1987_Daeninckx-Didier_Lumiere-noire,1987,didier daeninckx,lumiere noire,True,male,20--,canon
1987_Simon-Claude_L-invitation,1987,claude simon,l invitation,True,male,2005,canon
1987_Green-Julien_Les-Pays-lointains,1987,julien green,les pays lointains,True,male,1998,canon
1987_Echenoz-Jean_Equipee-malaise,1987,jean echenoz,equipee malaise,True,male,20--,canon
1988_Bergounioux-Pierre_L-arbre-sur-la-riviere,1988,pierre bergounioux,l arbre sur la riviere,True,male,20--,canon
1988_Orsenna-Erik_L-exposition-coloniale,1988,erik orsenna,l exposition coloniale,False,male,20--,non-canon
1988_Pagnol-Marcel_Jean-De-Florette,1988,marcel pagnol,jean de florette,False,male,1974,non-canon
1988_Yourcenar-Marguerite_Quoi-L-Eternite,1988,marguerite yourcenar,quoi l eternite,True,female,1987,canon
1988_Michon-Pierre_Vie-de-Joseph-Roulin,1988,pierre michon,vie de joseph roulin,True,male,20--,canon
1989_Gailly-Christian_K.622,1989,christian gailly,k.622,False,male,2013,non-canon
1989_Simon-Claude_L-Acacia,1989,claude simon,l acacia,True,male,2005,canon
1989_Villard-Marc_La-dame-est-une-trainee,1989,marc villard,la dame est une trainee,False,male,20--,non-canon
1989_Daeninckx-Didier_La-mort-n-oublie-personne,1989,didier daeninckx,la mort n oublie personne,True,male,20--,canon
1989_Echenoz-Jean_Lac,1989,jean echenoz,lac,True,male,20--,canon
1989_Perec-Georges_L-Infra-ordinaire,1989,georges perec,l infra ordinaire,True,male,1982,canon
1989_Ayme-Marcel_La-jument-verte,1989,marcel ayme,la jument verte,True,male,1967,canon
1989_Celine-Louis-Ferdinand_Guignol-s-band,1989,louis ferdinand celine,guignol s band,True,male,1961,canon
1990_Perec-Georges_Je-suis-ne,1990,georges perec,je suis ne,True,male,1982,canon
1990_Tournier-Michel_Sept-contes,1990,michel tournier,sept contes,True,male,2016,canon
1990_Quignard-Pascal_La-raison,1990,pascal quignard,la raison,True,male,XXXX,canon
1990_Daeninckx-Didier_Le-facteur-fatal,1990,didier daeninckx,le facteur fatal,True,male,20--,canon
1990_Modiano-Patrick_Voyage-de-noces,1990,patrick modiano,voyage de noces,True,male,20--,canon
1990_Laurent-Jacques_Le-miroir-aux-tiroirs,1990,jacques laurent,le miroir aux tiroirs,False,male,1986,non-canon
1990_Volodine-Antoine_Lisbonne-derniere-marge,1990,antoine volodine,lisbonne derniere marge,True,male,20--,canon
1991_Michon-Pierre_Rimbaud-le-fils,1991,pierre michon,rimbaud le fils,True,male,20--,canon
1991_Combescot-Pierre_Les-filles-du-Calvaire,1991,pierre combescot,les filles du calvaire,False,male,2017,non-canon
1991_Germain-Sylvie_L-Enfant-Meduse,1991,sylvie germain,l enfant meduse,True,female,20--,canon
1991_Bauchau-Henry_Diotime-et-les-lions,1991,henry bauchau,diotime et les lions,True,male,2012,canon
