,text_surronding
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34968,"mon grand - père , je montai dans ma chambre"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34971,"père , je montai dans ma chambre fort préoccupée de"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34976,ma chambre fort préoccupée de ma toilette ? . .
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34982,"toilette ? . . . J' essayai dix robes ,"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34991,", vingt fichus , et je fis refaire si souvent"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_34996,"je fis refaire si souvent ma coiffure , que mes"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_35000,"souvent ma coiffure , que mes cheveux étaient fort mal"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_35011,", et qu' à peine ma toilette était - elle"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_35021,"achevée , quand on vint me prévenir de descendre au"
Bassanville-Anais-de_Les-Primeurs-de-la-vie-ou-Bonheurs-joies-et-douleurs-de-la-jeunesse_<lui-1300>_35034,recevoir nos hôtes . —Jamais je n' ai été aussi
