,text_surronding
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57514,"en marchant , l' idée me revenait que cette dame"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57519,me revenait que cette dame m' était connue ; je
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57523,"dame m' était connue ; je repassais mes souvenirs ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57525,"était connue ; je repassais mes souvenirs , remontant jusqu'"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57531,"souvenirs , remontant jusqu' à ma vie de concerts ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57547,tout à coup un éclair me traversa l' esprit et
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57552,me traversa l' esprit et je m' écriai : «
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57564,"est la Mariani , que j' ai vue au Théâtre"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57609,est ici ! » Et je me rappelais qu' elle
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57670,"arrivée de cette grande artiste m' avait exalté , et"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57679,"et , tout en poursuivant ma route , je me"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57682,"en poursuivant ma route , je me souvenais qu' autrefois"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57699,"un moment d' expansion , m' avait dit qu' il"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57725,don Pedro de Portugal . Je compris que cet excellent
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57804,voir elle - même . Je compris tout ; j'
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57808,. Je compris tout ; j' en avais les larmes
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57819,"yeux . Mais cela ne m' étonnait pas , car"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57844,de la fraternité . Cela me paraissait naturel et ne
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57849,me paraissait naturel et ne m' empêchait pas d' en
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57861,. C' est ainsi que j' arrivai dans le jardinet
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57900,", comme toujours , vint me sauter dans les bras"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57918,papa Chapuis ! » Et je lui répondis gaiement :
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57926,"gaiement : « Oui , mon enfant , c' est"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57929,"Oui , mon enfant , c' est moi . ."
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57931,"mon enfant , c' est moi . . . et"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57936,moi . . . et je viens t' apporter une
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57955,"! . . . Tu m' entends , jeudi !"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_57988,"se montrer , car , je t' en préviens ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58042,de tous . » Et je tirai ma partition de
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58044,. » Et je tirai ma partition de la poche
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58081,"magnifique ! » Loïs , me voyant animé plus qu'"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58095,ouvrait de grands yeux ; mon air de satisfaction et
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58112,"bon papa Chapuis , puisque vous êtes content , je"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58143,car c' est lui qui m' a demandé ce service
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58154,", naturellement , Loïs , je lui ai répondu que"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58197,", de pouvoir un jour vous faire un plaisir ,"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58203,"faire un plaisir , à vous et à M ."
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58232,"promenant dans le jardin , je lui fis ressortir les"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58284,étudiant à fond . Elle me promit de les savoir
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58298,"quoi , bien content de ma journée , je regagnai"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58301,"content de ma journée , je regagnai tranquillement Sainte -"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58308,tranquillement Sainte - Suzanne . Je m' étais bien gardé
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58342,; et le jeudi suivant je me rendis de bon
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58379,"dix heures , Loïs et moi nous montâmes aux orgues"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58431,dans l' antique église . Je déployai notre partition sur
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58439,"partition sur le pupitre et je m' assis , le"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58448,"le petit miroir incliné sur ma tête , pour suivre"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58461,"Loïs , debout près de moi , au moment de"
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58479,tremblait comme une feuille ; je lui pris la main
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58485,lui pris la main et je lui dis d' être
Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien._<m'-3284>_58565,de sa voix profonde . Je n' eus qu' à
