,text_surronding
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26459,"ma race , et qui me faisait prendre bien souvent"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26473,était une gourmandise insatiable ; mon estomac était comme un
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26491,"irrésistible et toujours renaissante , je commettais des larcins ,"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26496,"je commettais des larcins , j' employais des ruses que"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26520,des rudes corrections qu' il m' administrait . On m'
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26524,il m' administrait . On m' enseignait la chasse aux
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26569,"excellentes leçons de Metek , je commençais à faire des"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26589,Les gens de la tribu me comblaient d' éloges et
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26594,me comblaient d' éloges et mon maître paraissait fier de
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26599,mon maître paraissait fier de moi . Pour donner une
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26609,"idée du rude apprentissage auquel j' étais soumis , je"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26613,"auquel j' étais soumis , je vais conter ce qui"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26618,je vais conter ce qui m' arriva deux ou trois
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26626,ou trois ans après que j' eus dépassé ma douzième
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26629,après que j' eus dépassé ma douzième année . On
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26740,"Armé de cet engin , j' allais chaque jour ,"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26807,au passage avec facilité . J' avais quelque habileté à
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26815,habileté à cette chasse et j' y faisais beaucoup de
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26822,faisais beaucoup de victimes que je rapportais plus ou moins
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26832,fidèlement à la tribu . Je dis « plus ou
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26848,"faut bien l' avouer , ma gloutonnerie m' induisait en"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26850,"l' avouer , ma gloutonnerie m' induisait en d' étranges"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26857,en d' étranges tentations auxquelles je ne résistais pas toujours
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26864,résistais pas toujours . Quand j' avais capturé et tué
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26876,"nombre d' oiseaux , il m' arrivait parfois d' en"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26901,"croquer tout crus , sans m' inquiéter de la simplicité"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26915,"Or , chaque fois que je me rendais coupable de"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26927,"d' égoïsme , Metek , mon précepteur , ne manquait"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26942,. A quels signes ? Je ne saurais le dire
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26986,"il en fût , à mon retour à la hutte"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_26994,"la hutte , il ne m' épargnait pas les taloches"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27009,"manche de harpon , que je supportais , de mon"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27013,"que je supportais , de mon côté , avec un"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27037,"plusieurs heures de durée , je pris mon filet à"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27039,"de durée , je pris mon filet à poche et"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27044,mon filet à poche et j' allai chasser aux auks
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27167,qu' avaient lieu d' ordinaire mes plus belles chasses .
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27179,"dont il s' agit , je ne fus d' abord"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27194,maladroit que les précédents . Mon filet à la main
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27200,"filet à la main , je m' étais engagé dans"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27261,"qui surplombaient l' abîme , je les happais au vol"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27267,les happais au vol et je faisais souvent deux captures
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27290,", et , aussitôt que j' avais pris un de"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27300,"ces pauvres oiseaux , que je lui avais tordu le"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27307,"avais tordu le cou , je le déposais dans un"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27317,"creux de rocher , où j' en avais un amas"
Berthet-Elie_Les-Petits-ecoliers-dans-les-cinq-parties-du-monde_<j'-1140>_27323,en avais un amas . Je ne songeais pas à
