character,gender
Dumas-Alexandre_Le-docteur-mysterieux_<un voiturier-119>,Male
Dumas-Alexandre_Le-docteur-mysterieux_<Jacques-1602>,Male
Dumas-Alexandre_Le-docteur-mysterieux_<Jacques Mérey-676>,Male
Dumas-Alexandre_Le-docteur-mysterieux_<Éva-1537>,Female
Dumas-Alexandre_Le-docteur-mysterieux_<Mes bons amis-1946>,Male
Dumas-Alexandre_Le-docteur-mysterieux_<Citoyens-3944>,Male
Dumas-Alexandre_Le-docteur-mysterieux_<le Président-801>,Male
Sand-George_La-petite-Fadette_<la petite Fadette-1341>,Female
Sand-George_La-petite-Fadette_<Landry-1216>,Female
Sand-George_La-petite-Fadette_<cette Fadette-2233>,Male
Sand-George_La-petite-Fadette_<la brune-1043>,Male
Sand-George_La-petite-Fadette_<Landry-541>,Male
Sand-George_La-petite-Fadette_<la petite Fadette-856>,Male
Sand-George_La-petite-Fadette_<Je-2262>,Female
Sand-George_La-petite-Fadette_<la petite Fadette-2043>,Female
Sand-George_La-petite-Fadette_<qui-2094>,Female
Sand-George_La-petite-Fadette_<j'-1807>,Female
Gide-Andre_Voyage-au-Congo_<notre gîte d' étape-3350>,Male
Gide-Andre_Voyage-au-Congo_<je-1636>,Male
Gide-Andre_Voyage-au-Congo_<M . Labarbe-2457>,Male
Gide-Andre_Voyage-au-Congo_<nous-1425>,Male
Gide-Andre_Voyage-au-Congo_<nous-4381>,Male
Gide-Andre_Voyage-au-Congo_<Korami-4198>,Male
Gide-Andre_Voyage-au-Congo_<j'-261>,Male
Gide-Andre_Voyage-au-Congo_<notre-1909>,Male
Gide-Andre_Voyage-au-Congo_<je-8>,Male
Despentes-Virginie_Apocalypse-bebe_<elle-3215>,Female
Despentes-Virginie_Apocalypse-bebe_<elle-3901>,Female
Despentes-Virginie_Apocalypse-bebe_<Une femme brune à cheveux courts-1765>,Female
Despentes-Virginie_Apocalypse-bebe_<Magali-4154>,Female
Despentes-Virginie_Apocalypse-bebe_<au petit brun-1485>,Female
Despentes-Virginie_Apocalypse-bebe_<La Hyène-245>,Female
Despentes-Virginie_Apocalypse-bebe_<la-4334>,Female
Despentes-Virginie_Apocalypse-bebe_<une jeune actrice française connue-2086>,Female
Despentes-Virginie_Apocalypse-bebe_<Lucette-1056>,Female
Despentes-Virginie_Apocalypse-bebe_<la sœur-3672>,Female
Mirbeau-Octave_Sebastien-Roch_<lui-2957>,Male
Mirbeau-Octave_Sebastien-Roch_<C'-1602>,Male
Mirbeau-Octave_Sebastien-Roch_<Marguerite-3854>,Female
Mirbeau-Octave_Sebastien-Roch_<François Pinchard-927>,Male
Mirbeau-Octave_Sebastien-Roch_<Vous-2088>,Male
Mirbeau-Octave_Sebastien-Roch_<ta mère-3676>,Female
Mirbeau-Octave_Sebastien-Roch_<Sébastien-1310>,Male
Mirbeau-Octave_Sebastien-Roch_<Sébastien-1995>,Male
Mirbeau-Octave_Sebastien-Roch_<le Père-2201>,Male
Mirbeau-Octave_Sebastien-Roch_<me-3209>,Female
Gaude-Laurent_Les-Oliviers-du-Negus_<J'-677>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<Je-1486>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<je-914>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<Je-1357>,Male
Gaude-Laurent_Les-Oliviers-du-Negus_<Je-537>,Male
